質問,回答
"橋本栄子: お試し用商品はありますか？
 口コミを見ると香りのことが色々ありますが、何の香りでしょうか。
 ドライヤー後の乾いた髪にオイルをつけて、アイロンを使用するやり方で良いですか？
 今まで他の商品ですが、アイロン使用後にオイルを使っていました。（濡れた髪に保湿剤を付けて乾かし、アイロンしてオイルをしていました）
 色々と質問をすみませんがよろしくお願い致します。","【公式】髪にドラマを。楽天市場店: お問い合わせいただきありがとうございます。
 「いるかのせなか。オイル」についてのご質問にお答えいたします。
 

 ■ お試し用商品について
 申し訳ございません。〈お試し用サイズ〉のご用意はなく、80mlサイズのみの販売となっております。
 

 ■香り
 上質なサボンの香りです。
 

 ■ご使用方法
 以下の2通りの使い方をおすすめしております。
 

 ① 基本の使い方（ドライヤー前）
 タオルドライ後の濡れた髪の中間〜毛先になじませ、その後ドライヤーでしっかり乾かしてください。
 

 ② アイロンを使用する場合
 乾いた髪にオイルをなじませてから、アイロンをご使用ください。
 

 

 いるかのせなか。オイルは下記の特長があります。
 

 ・熱ダメージから髪を保護
 ・熱を味方にツヤUP！
 ・熱伝導が高まり、アイロンの温度を下げても綺麗に仕上がるサポート力あり
 

 アイロンやドライヤーの前にお使いいただくことで、髪を熱から守りながら、ツヤやまとまりをプラスしてくれます。
 ぜひ一度、お試しいただけますと幸いです😊"
"田中ちはる: 注文番号：【425398-20250624-0999500659】
 カテゴリー：その他
 内容：いつもお世話になっております。
 コンビニ支払いのお支払い番号がわからないのでショートメールの方にお送り頂けないでしょうか。
 お手隙おかけしますが宜しくお願い致します。","【公式】髪にドラマを。楽天市場店: お問い合わせをいただき、誠にありがとうございます。
 

 お支払いに関するお問い合わせは、楽天市場までご連絡いただけますでしょうか。
 お手数をおかけいたしますが、何卒よろしくお願いいたします。
 

 ▼楽天市場 お客様サポートセンター
 https://chat.ichiba.faq.rakuten.co.jp/rnt_chat_ref/100/Payment
 ※表示された画面にお困りごとをご入力頂くか、「オペレーターとチャットしたい」など、ご希望のご連絡方法をご入力ください。
 

 お支払い方法については以下をご確認ください。
 https://ichiba.faq.rakuten.net/detail/000010676"
"ゆかり<Ub03a732b80ae71c836d0a3198ac8096c>: 分かりました。
 ありがとうございます。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信ありがとうございます。
 お届けまで今しばらくお待ちいただけますと幸いです。どうぞよろしくお願いいたします。"
"小林啓: 注文番号：【425398-20250627-0141701675】
 カテゴリー：その他
 内容：こんにちは。
 6/27に商品注文して同日にコンビニ振り込み完了。振り込み確認メールが届いたのですがそこからステータスが入金完了にならないため一応ご連絡させて頂きました。
 恐縮ですがご確認頂けるとありがたいです。
 注文番号425398-20250627-0141701675
 小林 啓","【公式】髪にドラマを。楽天市場店: ご連絡くださいまして、誠にありがとうございます。
 お支払いについてご心配をおかけし、申し訳ございません。
 

 6月27日18:02ごろに、弊社にてお支払いを確認させていただきました。
 

 ステータスが入金完了にならないことにつきまして、あいにく弊社ではわかりかねます。
 恐れ入りますが、楽天市場様へご確認をいただけますようお願いいたします。
 

 なお、ご注文はただいま発送準備をすすめさせていただいております。
 出荷が完了いたしましたらメールにてご連絡をさせていただきます。
 

 お届けまで今しばらくお待ちいただけましたら幸いです。
 どうぞよろしくお願いいたします。"
"押井美香<Uad57a8de68102852389bbfe0edef3784>: メールでも同じ内容で問い合わせしてしまいました💦
 重複しております。
 スミマセン😣💦⤵️
 

 改めて定期注文させていただきます。
 トリートメントをどちらにしたら良いか迷っております。
 ロングヘアで細い柔らかい髪質。
 縮毛矯正しております。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): とんでもないことでございます。
 メールでもご連絡くださいましてありがとうございました。
 

 ロングヘアで、細く柔らかい髪質。
 さらに縮毛矯正をされているとのことで、「どちらのトリートメントが合うか…」とお悩みなのですね。
 

 ■通常タイプ
 しっとりとまとまる仕上がりがお好みの方におすすめです。
 

 ■SARARITO（サラリト）
 サラサラと軽やかに仕上げたい方におすすめです。
 

 

 一般的に、細く柔らかい髪質の方は、髪にトリートメント成分が吸着しやすく、「しっとりタイプ」を使うと重く感じやすい傾向があるとも言われています。
 そのため、軽さを重視したい方にはSARARITOのほうが扱いやすい場合もございます。
 

 なお、どちらも熱ダメージの補修成分やケア効果は同じですので、
 大きな違いは「仕上がりの質感」とお考えいただければと思います。
 

 ぜひ、お試しセットなどで「どちらが自分に合うか」を実際に使ってご確認いただき、より心地よく感じたタイプをお選びいただければ幸いです😊
 ご不明点などございましたら、いつでもお気軽にご相談くださいませ。"
"まゆ<Ub45391a7274202124626365a20b0774e>: 定期便のメールが届きましたが金額に相違があります。
 

 ご確認をお願い致します。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただきありがとうございます。
 

 このたびは、商品のお届けについてご心配をおかけし申し訳ございません。
 

 ご注文とマイページのご利用履歴を確認させていただきました。
 以下に今回の経緯についてご案内させていただきます。
 

 ■金額に相違がある理由
 

 9913円は、ご注文番号716c699af5です。
 10220円は、ご注文番号53fa649577です。
 

 ご注文番号が異なるため、金額に相違が発生しております。
 その詳細について以下でご説明をさせていただきます。
 

 ■ご注文が重複した経緯について
 

 ◎ご注文番号716c699af5（9913円）
 

 こちらが6月27日21:06:50にお申込みいただいた定期の1回目のお届け分です。
 

 

 ◎ご注文番号53fa649577（10220円）
 

 定期便のお申込み完了後、すぐに、2回目（10月お届け予定分）の定期便を、マイページより最短日の7月8日まで早められた履歴がございました。
 

 この分が6月30日に確定したご注文でございます。
 

 

 定期便では、お申込み後に1回目のお届け分がすぐに確定し、購入履歴に反映されます。
 マイページに表示される「定期便情報」は、次回の配送予定分の情報となります。
 

 今回は、次回分の配送を早めるお手続きをされたことで、1回目（ご注文番号：716c699af5）と2回目（ご注文番号：53fa649577）のご注文が発生した次第でございます。
 

 ---------------
 ▼1回目分
 ---------------
 ◎1回目のお届け分（ご注文番号：716c699af5）のご注文詳細はこちら
 「最近の購入履歴」
 https://shop.kaminidoramawo.jp/shop/customer
 

 ◎ 1回目のお届け分に関するメールはこちら
 送信日時：2025-06-27 21:06:54
 └件名：ご注文ありがとうございました【髪にドラマを。】
 

 ---------------
 ▼2回目分
 ---------------
 ◎2回目のお届け分（ご注文番号：53fa649577）のご注文詳細はこちら
 「最近の購入履歴」
 https://shop.kaminidoramawo.jp/shop/customer
 

 ◎ 2回目のお届け分にメールはこちら
 送信日時：2025-06-30 12:36:32
 └件名：定期便が確定しました【髪にドラマを。】
 

 ---------------"
Mii<Ud83f8a247d2c1bd6c932414e9a871b66>: 注文について,
"齊藤雅子: 注文番号：【425398-20250630-0420402181】
 カテゴリー：返品・交換・キャンセルについて
 内容：キャンセルの理由：購入履歴のステータスが「新規受付済み」とのことで、お手数おかけして申し訳ございませんが、可能でしたらキャンセルよろしくお願い致します。ご迷惑おかけして申し訳ございませんが、ご確認よろしくお願いいたします。","【公式】髪にドラマを。楽天市場店: このたびはお問い合わせいただき、誠にありがとうございます。
 

 ご注文状況を確認いたしましたところ、すでにご注文が確定しておりました。
 

 また、ご注文時にご確認いただきました通り、ご注文完了後のキャンセルは承っておりません。
 ご希望に添えず申し訳ございません。
 

 商品は予定通り、発送の手続きを進めさせていただきます。
 発送が完了いたしましたらメールにてご連絡をさせていただきます。
 お受け取りのほど、よろしくお願いいたします。
 

 

 ご不要の場合には、未開封商品の返品を承ります。
 商品お受け取り後に、送料をご負担のうえ、1週間以内に下記までご返送くださいませ。
 

 ▼返送先
 〒545-0053
 大阪府大阪市阿倍野区松崎町4-3-5
 髪にドラマを。返品係 川畑宛
 06-4703-3600
 

 商品の到着を確認後、ご注文のキャンセル・返金手続きを行わせていただきます。
 どうぞよろしくお願いいたします。"
広大<Ue9cac8fc0c7f18e9c32e370d383637cf>: 注文について,
山本 里沙<U162e09f56dbe4b0388a110e35a630b24>: 注文について,
